DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,DLBCL,B_cell,B_cell,B_cell,B_cell,B_cell,B_cell,B_cell,FL,FL,FL,FL,FL,FL,CLL,CLL,CLL,CLL,CLL,CLL,CLL
-1.947902867,-0.576092695,-0.249471226,0.458208625,0.784830094,0.458208625,0.273123125,-1.0660249,0.621519359,0.43643386,1.209438005,1.873568326,0.665068889,0.686843653,0.044488097,0.708618418,0.610631977,-0.205921697,0.686843653,0.795717477,0.817492241,1.209438005,0.621519359,-0.140597403,0.882816535,0.86104177,0.077150244,0.959028211,-0.488993637,-0.837389871,1.536059474,0.414659095,0.175136685,-0.358345049,-1.784592132,-1.577731868,-2.013227161,1.492509945,1.111451564,0.839267006,0.57796983,0.599744595,-0.347457667,0.273123125,-1.16401134,-0.761178195,-1.512407575,-0.957151076,-1.991452396,-0.467218872
0.31856301,1.060597332,-0.705444353,-0.608979891,1.439034836,1.016075272,0.77862429,-0.90579362,0.637637769,0.912190467,-0.453152684,0.927031154,-0.341847536,-0.386369595,-0.994837738,-0.749966412,-0.401210281,-0.735125726,-0.460573027,-0.289905133,-0.616400235,1.921357145,-1.076461514,-1.313912497,-0.037613464,0.125634087,0.578275023,-0.586718862,-0.289905133,-0.779647785,1.646804446,-0.297325476,0.533752964,1.253526255,-0.289905133,-1.076461514,0.355664726,2.299794648,2.759855928,0.615376739,0.771203946,1.854574056,0.288881638,1.913936801,-0.289905133,-1.239709064,-1.224868378,-1.313912497,-0.289905133,-0.608979891
1.241521151,1.368184698,1.642622384,-1.228418025,-0.278441419,-0.257330828,-0.13066728,-1.186196842,-0.8062062,0.228212771,0.270433953,-0.848427383,-0.004003733,-0.785095609,-1.249528616,-0.320662601,0.270433953,-0.426215558,-0.362883784,1.769285932,0.798198734,0.924862282,1.600401202,-0.890648565,0.587092822,-1.692851032,-1.059533295,-0.004003733,-1.861735762,-0.996201521,-0.742874426,-2.051731083,0.460429275,-1.439523937,0.565982231,-0.004003733,0.059328041,-0.869537974,1.051525829,0.291544545,-0.193999054,-0.447326149,2.59259899,0.945972873,1.558180019,1.135968194,1.199299968,0.671535187,-0.004003733,0.755977552
2.000037102,1.427229827,-0.369302077,-0.308549791,-0.716458001,-0.855320371,-0.577595632,-0.820604778,1.817780242,0.602734509,1.114789496,0.264257483,-0.612311224,-0.386659874,-0.577595632,0.611413407,-0.438733262,0.055963929,0.463872139,0.767633573,2.737743439,2.05211049,0.698202388,0.246899687,0.307651974,1.878532528,0.32500977,-0.22176081,-1.480201033,0.246899687,-0.542880039,0.750275776,-1.072292823,-1.662457893,-0.76853139,-0.942109351,-0.308549791,-0.551558937,-0.308549791,-0.516843345,-0.456091058,-0.890035963,-1.523595524,0.750275776,-0.369302077,-0.204403014,-0.612311224,0.446514343,0.047285031,-0.117614033
-0.833287892,0.166744879,2.116175852,0.394600448,0.723725157,0.824994299,-1.921931163,-1.440902741,-0.048452046,1.014873939,0.87562887,-0.732018751,0.128768951,-1.137095317,-1.921931163,0.92626344,1.825027071,0.622456016,-0.529480468,1.002215296,0.7363838,0.774359728,0.166744879,1.571854217,0.002182525,0.457893661,0.381941805,-0.554797753,-0.175038473,-0.921898391,-0.364918113,-0.668725537,-0.68138418,0.268014021,-1.137095317,-0.858605178,-1.124436674,-0.618090967,-0.048452046,-0.326942185,-0.719360108,0.103451666,-0.833287892,-0.023134761,2.204786351,0.242696736,0.888287512,2.116175852,1.736416572,0.7363838
2.349873223,2.073856368,0.962329034,1.902278323,0.425215155,0.201417705,-1.924658068,-1.700860618,0.775831159,0.634092774,1.014548439,-0.186497875,-1.223426059,-0.529653964,-0.395375495,-0.820590649,-0.231257365,0.32823626,0.634092774,0.581873369,0.634092774,0.663932434,-1.044388099,0.469974645,1.477063169,1.298025209,1.395004104,-0.335696175,-1.641181298,-0.514734134,1.193586399,0.611713029,0.38791558,-0.559493624,-1.432303679,-0.857890224,-0.999628609,0.708691924,0.783291074,-0.25363711,-0.410295325,-0.276016855,-0.917569544,1.223426059,-0.10443881,-0.052219405,0.052219405,-0.007459915,-0.186497875,0.37299575
-0.283287726,0.559852139,-1.105349095,-1.621772263,0.148821455,0.11720371,0.1804392,0.623087629,-0.715396908,-0.07250276,-1.231820075,-0.399219458,0.222596193,-0.494072693,0.907647334,0.812794099,-1.368830303,-0.715396908,0.359606421,-0.894564129,0.686323119,0.99196132,-0.00926727,0.190978448,0.064507468,-0.420297955,-0.683779163,0.075046716,1.318678018,-0.546768934,0.538773643,0.507155898,0.559852139,-1.295055565,1.655933964,1.634855468,1.43460975,0.433381159,0.644166126,1.013039817,0.876029589,0.707401616,0.823333347,1.518923736,0.222596193,0.222596193,0.222596193,0.222596193,0.222596193,0.222596193
0.557989393,0.313341776,-1.469090865,0.173543137,-0.193428289,0.365766265,-0.752622843,1.082234288,0.470615244,0.732737692,1.396781224,-0.01867999,0.348291436,0.173543137,-0.228377948,0.278392116,-1.04969495,0.610413883,-0.333226927,1.117183947,1.047284628,0.383241095,-0.438075906,-0.05362965,-0.438075906,0.173543137,-0.228377948,-0.892421481,0.173543137,0.173543137,0.051219329,0.83758667,0.767687351,0.330816606,-0.665248694,0.540514564,-0.175953459,0.313341776,0.767687351,0.732737692,0.575464223,0.243442457,0.750212521,0.173543137,0.173543137,0.330816606,-0.01867999,0.627888713,-0.141003799,1.239507756
0.455191701,0.085333951,0.495539819,0.25345111,-1.225979889,0.40139421,0.47536576,-0.049159776,0.851948196,1.571489637,0.643482919,-0.102957267,1.423546537,0.54933731,-0.224001622,0.435017642,0.112232696,0.502264505,0.085333951,0.663656978,1.228530632,1.389923105,0.313973287,0.152580815,0.044985833,0.582960742,0.630033546,0.488815133,-2.81300587,0.468641074,-0.61403343,-1.004065239,-0.977166494,-1.481517971,-1.347024244,-1.918622584,0.320697974,0.959543178,1.040239414,0.710729783,0.320697974,1.235255319,0.717454469,0.206378306,0.300523915,1.080587532,0.40139421,0.811600078,0.132406756,0.098783324
0.393243892,1.346375676,0.512385365,-0.664136681,0.944273205,0.67620489,0.512385365,0.787900021,0.475153655,0.445368286,0.356012182,0.192192656,1.026182967,0.616634154,-0.351390314,-0.381175682,0.281548761,0.341119498,-0.314158604,0.378351208,0.356012182,0.765560995,0.065604841,0.117729236,-0.269480552,-0.396068367,0.214531683,0.013480447,-1.282183072,-0.232248841,1.100646388,0.67620489,0.847470758,0.34856584,0.221978025,-0.485424471,-0.254587867,0.705990259,0.668758548,1.242126887,0.862363442,0.951719547,1.294251282,1.376161044,0.006034105,-0.202463473,-0.247141525,-0.239695183,-0.470531787,0.035819473
0.423722337,0.269351134,0.557510713,0.619259194,0.855961706,0.25905972,0.958875841,1.000041495,0.135562758,-0.070265513,0.300225374,0.331099615,0.979458668,0.650133435,-0.0599741,-0.080556927,0.413430923,-0.615710431,-0.605419017,0.444305164,1.061789977,0.310516788,0.063522863,-0.461339228,0.660424848,0.670716262,0.763338984,1.741023271,-2.221170944,-0.399590747,0.691299089,-0.039391273,-1.408149274,-0.831830115,0.25905972,-2.416707801,0.25905972,0.598676367,0.382556683,1.56606924,1.07208139,0.320808202,1.648400549,0.187019825,-0.337842265,-0.296676611,-0.337842265,-0.533379123,-0.595127604,0.053231449
0.904570817,0.433444884,0.970004975,1.349523088,1.231741604,1.113960121,1.048525964,2.187080303,0.525052704,-0.561154309,0.538139536,0.865310323,0.603573693,0.642834188,1.009265469,-0.849064601,-1.123888062,-0.692022623,0.368010727,1.349523088,-0.233983521,-0.508806983,0.184795086,-0.299417679,0.525052704,0.080100434,0.13244776,0.04083994,-0.508806983,0.760615671,0.302576569,-0.770543612,-1.071540736,-1.37253786,-1.595013996,-0.875238264,-1.18932222,0.564313199,0.093187266,1.820649021,1.336436256,1.205567941,0.603573693,0.642834188,-0.993019747,0.629747356,0.276402906,-0.142375701,-0.207809859,0.106274097
0.628715961,-0.425337884,0.143140594,-0.449024488,0.889268597,-0.259531662,1.019544914,0.98401501,-1.100406077,-0.141098645,0.344476722,1.670926504,0.474753039,0.936641803,0.557656151,0.001020974,0.143140594,-1.124092681,-0.792480235,0.001020974,0.001020974,-0.093725439,-0.401651281,-0.650360615,0.664245866,-0.200315153,0.036550879,0.474753039,-0.792480235,0.782678882,0.557656151,-0.401651281,-1.360958713,-1.135935982,-2.474229066,-1.692571159,-2.213676431,1.185351137,0.320790118,1.28009755,1.268254249,0.806365485,0.960328406,2.263091586,0.143140594,0.901111898,0.581342754,1.066918121,1.078761423,0.936641803
